        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -10.637956
                  0.5075                      -10.600621
                   0.515                      -10.566541
                  0.5225                      -10.535692
                    0.53                      -10.508048
                  0.5375                      -10.483592
                   0.545                      -10.462304
                  0.5525                      -10.444172
                    0.56                      -10.429184
                  0.5675                      -10.417331
                   0.575                      -10.408608
                  0.5825                      -10.403013
                    0.59                      -10.400545
                  0.5975                      -10.401209
                   0.605                      -10.405011
                  0.6125                      -10.411959
                    0.62                      -10.422068
                  0.6275                      -10.435351
                   0.635                      -10.451828
                  0.6425                      -10.471522
                    0.65                      -10.494456
                  0.6575                      -10.520661
                   0.665                      -10.550168
                  0.6725                      -10.583013
                    0.68                      -10.619236
                  0.6875                      -10.658881
                   0.695                      -10.701993
                  0.7025                      -10.748626
                    0.71                      -10.798835
                  0.7175                       -10.85268
                   0.725                      -10.910226
                  0.7325                      -10.971544
                    0.74                      -11.036708
                  0.7475                      -11.105799
                   0.755                      -11.178904
                  0.7625                      -11.256115
                    0.77                       -11.33753
                  0.7775                      -11.423257
                   0.785                      -11.513407
                  0.7925                      -11.608102
                     0.8                       -11.70747
                  0.8075                       -11.81165
                   0.815                      -11.920789
                  0.8225                      -12.035045
                    0.83                      -12.154588
                  0.8375                      -12.279597
                   0.845                      -12.410268
                  0.8525                      -12.546808
                    0.86                      -12.689441
                  0.8675                      -12.838407
                   0.875                      -12.993966
                  0.8825                      -13.156396
                    0.89                      -13.325999
                  0.8975                      -13.503102
                   0.905                      -13.688057
                  0.9125                       -13.88125
                    0.92                      -14.083097
                  0.9275                      -14.294056
                   0.935                      -14.514626
                  0.9425                      -14.745352
                    0.95                      -14.986838
                  0.9575                      -15.239746
                   0.965                      -15.504813
                  0.9725                      -15.782854
                    0.98                       -16.07478
                  0.9875                      -16.381611
                   0.995                      -16.704495
                  1.0025                      -17.044729
                    1.01                      -17.403786
                  1.0175                      -17.783354
                   1.025                      -18.185371
                  1.0325                      -18.612085
                    1.04                      -19.066119
                  1.0475                      -19.550564
                   1.055                      -20.069093
                  1.0625                      -20.626121
                    1.07                      -21.227017
                  1.0775                      -21.878403
                   1.085                      -22.588575
                  1.0925                      -23.368119
                     1.1                      -24.230838
                  1.1075                      -25.195205
                   1.115                      -26.286722
                  1.1225                      -27.541993
                    1.13                      -29.016216
                  1.1375                      -30.798193
                   1.145                      -33.043969
                  1.1525                      -36.064365
                    1.16                      -40.596089
                  1.1675                      -47.956567
                   1.175                      -44.604288
                  1.1825                      -38.430484
                    1.19                      -34.647441
                  1.1975                      -31.985643
                   1.205                      -29.941013
                  1.2125                      -28.283961
                    1.22                      -26.892415
                  1.2275                       -25.69407
                   1.235                      -24.642661
                  1.2425                      -23.706826
                    1.25                      -22.864341
                  1.2575                      -22.098885
                   1.265                      -21.398124
                  1.2725                      -20.752511
                    1.28                      -20.154503
                  1.2875                      -19.598041
                   1.295                       -19.07818
                  1.3025                      -18.590835
                    1.31                      -18.132589
                  1.3175                      -17.700559
                   1.325                      -17.292285
                  1.3325                      -16.905654
                    1.34                      -16.538837
                  1.3475                      -16.190239
                   1.355                      -15.858462
                  1.3625                      -15.542271
                    1.37                      -15.240574
                  1.3775                      -14.952396
                   1.385                      -14.676865
                  1.3925                      -14.413196
                     1.4                      -14.160684
                  1.4075                      -13.918688
                   1.415                      -13.686627
                  1.4225                      -13.463971
                    1.43                      -13.250236
                  1.4375                      -13.044978
                   1.445                      -12.847791
                  1.4525                      -12.658297
                    1.46                      -12.476151
                  1.4675                      -12.301033
                   1.475                      -12.132645
                  1.4825                      -11.970712
                    1.49                      -11.814976
                  1.4975                        -11.6652
                   1.505                      -11.521159
                  1.5125                      -11.382646
                    1.52                      -11.249465
                  1.5275                      -11.121434
                   1.535                      -10.998381
                  1.5425                      -10.880147
                    1.55                      -10.766579
                  1.5575                      -10.657537
                   1.565                      -10.552886
                  1.5725                      -10.452501
                    1.58                      -10.356264
                  1.5875                      -10.264063
                   1.595                      -10.175793
                  1.6025                      -10.091355
                    1.61                      -10.010657
                   1.611                      -10.000175
                  1.6175                      -9.9336093
                   1.625                      -9.8601302
                  1.6325                      -9.7901415
                    1.64                        -9.72357
                  1.6475                      -9.6603466
                   1.655                      -9.6004066
                  1.6625                      -9.5436891
                    1.67                      -9.4901372
                  1.6775                      -9.4396974
                   1.685                        -9.39232
                  1.6925                      -9.3479586
                     1.7                      -9.3065699
                  1.7075                      -9.2681139
                   1.715                      -9.2325538
                  1.7225                      -9.1998555
                    1.73                      -9.1699881
                  1.7375                      -9.1429232
                   1.745                      -9.1186353
                  1.7525                      -9.0971019
                    1.76                      -9.0783026
                  1.7675                        -9.06222
                   1.775                      -9.0488391
                  1.7825                      -9.0381477
                    1.79                      -9.0301357
                  1.7975                      -9.0247957
                   1.805                       -9.022123
                  1.8125                      -9.0221149
                    1.82                      -9.0247715
                  1.8275                      -9.0300952
                   1.835                      -9.0380911
                  1.8425                      -9.0487663
                    1.85                      -9.0621309
                  1.8575                      -9.0781972
                   1.865                      -9.0969802
                  1.8725                      -9.1184973
                    1.88                      -9.1427687
                  1.8875                       -9.169817
                   1.895                      -9.1996677
                  1.9025                      -9.2323491
                    1.91                      -9.2678921
                  1.9175                      -9.3063306
                   1.925                      -9.3477016
                  1.9325                      -9.3920448
                    1.94                      -9.4394034
                  1.9475                      -9.4898238
                   1.955                      -9.5433555
                  1.9625                      -9.6000518
                    1.97                      -9.6599694
                  1.9775                       -9.723169
                   1.985                      -9.7897151
                  1.9925                      -9.8596762
                       2                      -9.9331255
                  2.0075                       -10.01014
                   2.015                      -10.090803
                  2.0225                      -10.175201
                    2.03                      -10.263426
                  2.0375                      -10.355577
                   2.045                      -10.451759
                  2.0525                      -10.552081
                    2.06                       -10.65666
                  2.0675                      -10.765621
                   2.075                      -10.879097
                  2.0825                      -10.997227
                    2.09                       -11.12016
                  2.0975                      -11.248054
                   2.105                       -11.38108
                  2.1125                      -11.519416
                    2.12                      -11.663254
                  2.1275                        -11.8128
                   2.135                      -11.968271
                  2.1425                      -12.129903
                    2.15                      -12.297948
                  2.1575                      -12.472674
                   2.165                      -12.654373
                  2.1725                      -12.843357
                    2.18                      -13.039965
                  2.1875                      -13.244563
                   2.195                      -13.457546
                  2.2025                      -13.679345
                    2.21                      -13.910432
                  2.2175                      -14.151318
                   2.225                      -14.402566
                  2.2325                      -14.664794
                    2.24                      -14.938684
                  2.2475                       -15.22499
                   2.255                       -15.52455
                  2.2625                      -15.838298
                    2.27                      -16.167281
                  2.2775                      -16.512676
                   2.285                      -16.875816
                  2.2925                      -17.258214
                     2.3                      -17.661605
                  2.3075                      -18.087983
                   2.315                      -18.539662
                  2.3225                      -19.019347
                    2.33                      -19.530226
                  2.3375                      -20.076094
                   2.345                       -20.66152
                  2.3525                      -21.292068
                    2.36                      -21.974611
                  2.3675                      -22.717776
                   2.375                      -23.532591
                  2.3825                      -24.433464
                    2.39                      -25.439709
                  2.3975                      -26.578027
                   2.405                      -27.886759
                  2.4125                      -29.423613
                    2.42                      -31.280762
                  2.4275                      -33.616712
                   2.435                       -36.72619
                  2.4425                      -41.118412
                    2.45                      -45.422697
                  2.4575                      -41.804465
                   2.465                      -37.250141
