        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -11.739687
                  0.5075                      -11.702943
                   0.515                      -11.669629
                  0.5225                      -11.639718
                    0.53                      -11.613187
                  0.5375                      -11.590015
                   0.545                      -11.570186
                  0.5525                      -11.553684
                    0.56                      -11.540497
                  0.5675                      -11.530617
                   0.575                      -11.524039
                  0.5825                      -11.520758
                    0.59                      -11.520776
                  0.5975                      -11.524096
                   0.605                      -11.530724
                  0.6125                       -11.54067
                    0.62                      -11.553946
                  0.6275                      -11.570568
                   0.635                      -11.590557
                  0.6425                      -11.613934
                    0.65                      -11.640726
                  0.6575                      -11.670964
                   0.665                       -11.70468
                  0.6725                      -11.741913
                    0.68                      -11.782704
                  0.6875                      -11.827098
                   0.695                      -11.875147
                  0.7025                      -11.926904
                    0.71                      -11.982429
                  0.7175                      -12.041786
                   0.725                      -12.105045
                  0.7325                       -12.17228
                    0.74                      -12.243571
                  0.7475                      -12.319006
                   0.755                      -12.398676
                  0.7625                      -12.482682
                    0.77                       -12.57113
                  0.7775                      -12.664135
                   0.785                      -12.761818
                  0.7925                      -12.864311
                     0.8                      -12.971755
                  0.8075                      -13.084299
                   0.815                      -13.202105
                  0.8225                      -13.325346
                    0.83                      -13.454207
                  0.8375                      -13.588887
                   0.845                        -13.7296
                  0.8525                      -13.876577
                    0.86                      -14.030065
                  0.8675                      -14.190332
                   0.875                      -14.357666
                  0.8825                       -14.53238
                    0.89                      -14.714812
                  0.8975                      -14.905331
                   0.905                      -15.104335
                  0.9125                      -15.312262
                    0.92                      -15.529588
                  0.9275                      -15.756836
                   0.935                      -15.994579
                  0.9425                       -16.24345
                    0.95                      -16.504149
                  0.9575                      -16.777452
                   0.965                      -17.064225
                  0.9725                      -17.365432
                    0.98                       -17.68216
                  0.9875                      -18.015634
                   0.995                      -18.367243
                  1.0025                      -18.738571
                    1.01                      -19.131436
                  1.0175                      -19.547937
                   1.025                      -19.990518
                  1.0325                      -20.462045
                    1.04                       -20.96591
                  1.0475                      -21.506172
                   1.055                      -22.087737
                  1.0625                      -22.716619
                    1.07                      -23.400294
                  1.0775                      -24.148224
                   1.085                      -24.972614
                  1.0925                      -25.889598
                     1.1                      -26.921111
                  1.1075                      -28.098041
                   1.115                      -29.465826
                  1.1225                      -31.095185
                    1.13                      -33.104767
                  1.1375                       -35.71532
                   1.145                      -39.400705
                  1.1525                      -45.275365
                    1.16                      -48.732748
                  1.1675                      -41.783545
                   1.175                        -37.2414
                  1.1825                      -34.193387
                    1.19                      -31.921942
                  1.1975                      -30.116708
                   1.205                      -28.620965
                  1.2125                      -27.345373
                    1.22                      -26.234375
                  1.2275                      -25.251129
                   1.235                      -24.369975
                  1.2425                       -23.57233
                    1.25                      -22.844313
                  1.2575                      -22.175282
                   1.265                      -21.556902
                  1.2725                      -20.982519
                    1.28                      -20.446741
                  1.2875                      -19.945137
                   1.295                      -19.474019
                  1.3025                      -19.030286
                    1.31                      -18.611308
                  1.3175                      -18.214829
                   1.325                      -17.838906
                  1.3325                      -17.481849
                    1.34                      -17.142181
                  1.3475                      -16.818601
                   1.355                      -16.509961
                  1.3625                      -16.215239
                    1.37                      -15.933522
                  1.3775                      -15.663994
                   1.385                      -15.405919
                  1.3925                      -15.158631
                     1.4                      -14.921529
                  1.4075                      -14.694064
                   1.415                      -14.475736
                  1.4225                      -14.266089
                    1.43                      -14.064704
                  1.4375                      -13.871196
                   1.445                      -13.685209
                  1.4525                      -13.506416
                    1.46                      -13.334515
                  1.4675                      -13.169225
                   1.475                      -13.010285
                  1.4825                      -12.857452
                    1.49                      -12.710502
                  1.4975                      -12.569224
                   1.505                      -12.433421
                  1.5125                      -12.302909
                    1.52                      -12.177518
                  1.5275                      -12.057086
                   1.535                      -11.941463
                  1.5425                      -11.830506
                    1.55                      -11.724083
                  1.5575                      -11.622069
                   1.565                      -11.524348
                  1.5725                      -11.430808
                    1.58                      -11.341347
                  1.5875                      -11.255867
                   1.595                      -11.174276
                  1.6025                      -11.096488
                    1.61                      -11.022423
                   1.611                      -11.012825
                  1.6175                      -10.952005
                   1.625                      -10.885162
                  1.6325                      -10.821828
                    1.64                      -10.761939
                  1.6475                      -10.705438
                   1.655                      -10.652269
                  1.6625                      -10.602382
                    1.67                      -10.555729
                  1.6775                      -10.512266
                   1.685                      -10.471952
                  1.6925                      -10.434749
                     1.7                      -10.400624
                  1.7075                      -10.369544
                   1.715                      -10.341482
                  1.7225                       -10.31641
                    1.73                      -10.294307
                  1.7375                      -10.275152
                   1.745                      -10.258928
                  1.7525                      -10.245619
                    1.76                      -10.235213
                  1.7675                      -10.227701
                   1.775                      -10.223075
                  1.7825                      -10.221331
                    1.79                      -10.222467
                  1.7975                      -10.226483
                   1.805                      -10.233381
                  1.8125                      -10.243168
                    1.82                      -10.255851
                  1.8275                      -10.271441
                   1.835                      -10.289951
                  1.8425                      -10.311397
                    1.85                      -10.335797
                  1.8575                      -10.363173
                   1.865                      -10.393548
                  1.8725                      -10.426949
                    1.88                      -10.463406
                  1.8875                      -10.502952
                   1.895                      -10.545621
                  1.9025                      -10.591453
                    1.91                      -10.640491
                  1.9175                      -10.692778
                   1.925                      -10.748366
                  1.9325                      -10.807305
                    1.94                      -10.869652
                  1.9475                      -10.935468
                   1.955                      -11.004817
                  1.9625                      -11.077768
                    1.97                      -11.154394
                  1.9775                      -11.234773
                   1.985                      -11.318989
                  1.9925                       -11.40713
                       2                       -11.49929
                  2.0075                       -11.59557
                   2.015                      -11.696075
                  2.0225                      -11.800919
                    2.03                      -11.910223
                  2.0375                      -12.024115
                   2.045                      -12.142731
                  2.0525                      -12.266218
                    2.06                      -12.394729
                  2.0675                      -12.528431
                   2.075                        -12.6675
                  2.0825                      -12.812124
                    2.09                      -12.962507
                  2.0975                      -13.118863
                   2.105                      -13.281425
                  2.1125                      -13.450442
                    2.12                      -13.626182
                  2.1275                      -13.808932
                   2.135                      -13.999006
                  2.1425                      -14.196738
                    2.15                      -14.402494
                  2.1575                      -14.616669
                   2.165                      -14.839695
                  2.1725                      -15.072041
                    2.18                      -15.314221
                  2.1875                      -15.566798
                   2.195                      -15.830393
                  2.2025                       -16.10569
                    2.21                      -16.393446
                  2.2175                      -16.694505
                   2.225                      -17.009805
                  2.2325                      -17.340402
                    2.24                      -17.687483
                  2.2475                       -18.05239
                   2.255                      -18.436653
                  2.2625                      -18.842024
                    2.27                      -19.270521
                  2.2775                      -19.724487
                   2.285                      -20.206664
                  2.2925                      -20.720292
                     2.3                      -21.269232
                  2.3075                       -21.85814
                   2.315                      -22.492705
                  2.3225                      -23.179973
                    2.33                      -23.928825
                  2.3375                      -24.750668
                   2.345                      -25.660503
                  2.3525                      -26.678612
                    2.36                       -27.83337
                  2.3675                      -29.166232
                   2.375                      -30.741248
                  2.3825                      -32.665227
                    2.39                      -35.137012
                  2.3975                       -38.59777
                   2.405                      -44.418653
                  2.4125                      -70.586653
                    2.42                       -45.32792
                  2.4275                      -39.096517
                   2.435                      -35.518773
                  2.4425                      -33.003311
                    2.45                      -31.064978
                  2.4575                      -29.490279
                   2.465                      -28.166129
                  2.4725                      -27.025338
                    2.48                      -26.024714
                  2.4875                      -25.134836
                   2.495                      -24.334759
                  2.5025                      -23.609044
                    2.51                      -22.945976
                  2.5175                       -22.33646
                   2.525                      -21.773292
                  2.5325                      -21.250665
                    2.54                      -20.763833
                  2.5475                      -20.308866
                   2.555                      -19.882472
                  2.5625                      -19.481864
                    2.57                      -19.104667
                  2.5775                      -18.748833
                   2.585                       -18.41259
                  2.5925                       -18.09439
                     2.6                      -17.792876
                  2.6075                      -17.506846
                   2.615                      -17.235238
                  2.6225                      -16.977103
                    2.63                      -16.731591
                  2.6375                      -16.497939
                   2.645                      -16.275459
                  2.6525                      -16.063525
                    2.66                      -15.861572
                  2.6675                      -15.669083
                   2.675                      -15.485587
                  2.6825                      -15.310651
                    2.69                      -15.143878
                  2.6975                      -14.984903
                   2.705                       -14.83339
                  2.7125                      -14.689026
                    2.72                      -14.551524
                  2.7275                      -14.420617
                   2.735                      -14.296055
                  2.7425                      -14.177609
                    2.75                      -14.065062
                  2.7575                      -13.958216
                   2.765                      -13.856881
                  2.7725                      -13.760885
                    2.78                      -13.670062
                  2.7875                       -13.58426
                   2.795                      -13.503337
                  2.8025                      -13.427157
                    2.81                      -13.355596
                  2.8175                      -13.288535
                   2.825                      -13.225865
                  2.8325                      -13.167481
                    2.84                      -13.113287
                  2.8475                      -13.063192
                   2.855                      -13.017112
                  2.8625                      -12.974967
                    2.87                      -12.936681
                  2.8775                      -12.902187
                   2.885                       -12.87142
                  2.8925                      -12.844318
                     2.9                      -12.820826
                  2.9075                      -12.800892
                   2.915                      -12.784468
                  2.9225                      -12.771509
                    2.93                      -12.761973
                  2.9375                      -12.755825
                   2.945                      -12.753028
                  2.9525                      -12.753552
                    2.96                      -12.757368
                  2.9675                      -12.764451
                   2.975                      -12.774778
                  2.9825                      -12.788329
                    2.99                      -12.805086
                  2.9975                      -12.825035
                   3.005                      -12.848162
                  3.0125                      -12.874458
                    3.02                      -12.903912
                  3.0275                       -12.93652
