        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -8.9127856
                  0.5075                      -8.8651947
                   0.515                      -8.8206122
                  0.5225                       -8.778997
                    0.53                      -8.7403103
                  0.5375                      -8.7045154
                   0.545                      -8.6715773
                  0.5525                      -8.6414635
                    0.56                      -8.6141434
                  0.5675                      -8.5895886
                   0.575                      -8.5677728
                  0.5825                      -8.5486718
                    0.59                      -8.5322637
                  0.5975                      -8.5185288
                   0.605                      -8.5074495
                  0.6125                      -8.4990106
                    0.62                      -8.4931992
                  0.6275                      -8.4900045
                   0.635                      -8.4894182
                  0.6425                      -8.4914344
                    0.65                      -8.4960494
                  0.6575                      -8.5032621
                   0.665                      -8.5130739
                  0.6725                      -8.5254885
                    0.68                      -8.5405124
                  0.6875                      -8.5581544
                   0.695                      -8.5784262
                  0.7025                       -8.601342
                    0.71                       -8.626919
                  0.7175                       -8.655177
                   0.725                      -8.6861386
                  0.7325                      -8.7198296
                    0.74                      -8.7562786
                  0.7475                      -8.7955174
                   0.755                      -8.8375811
                  0.7625                      -8.8825079
                    0.77                      -8.9303395
                  0.7775                      -8.9811211
                   0.785                      -9.0349015
                  0.7925                      -9.0917334
                     0.8                      -9.1516732
                  0.8075                      -9.2147816
                   0.815                      -9.2811235
                  0.8225                      -9.3507681
                    0.83                      -9.4237895
                  0.8375                      -9.5002664
                   0.845                      -9.5802829
                  0.8525                      -9.6639283
                    0.86                      -9.7512978
                  0.8675                      -9.8424924
                   0.875                      -9.9376196
                  0.8825                      -10.036794
                    0.89                      -10.140136
                  0.8975                      -10.247776
                   0.905                       -10.35985
                  0.9125                      -10.476506
                    0.92                      -10.597898
                  0.9275                      -10.724192
                   0.935                      -10.855565
                  0.9425                      -10.992206
                    0.95                      -11.134315
                  0.9575                      -11.282108
                   0.965                      -11.435816
                  0.9725                      -11.595685
                    0.98                      -11.761981
                  0.9875                      -11.934989
                   0.995                      -12.115017
                  1.0025                      -12.302394
                    1.01                      -12.497481
                  1.0175                      -12.700665
                   1.025                      -12.912367
                  1.0325                      -13.133048
                    1.04                      -13.363208
                  1.0475                      -13.603396
                   1.055                      -13.854213
                  1.0625                      -14.116323
                    1.07                      -14.390459
                  1.0775                      -14.677435
                   1.085                      -14.978155
                  1.0925                      -15.293632
                     1.1                      -15.625005
                  1.1075                      -15.973558
                   1.115                      -16.340751
                  1.1225                      -16.728249
                    1.13                      -17.137967
                  1.1375                      -17.572122
                   1.145                      -18.033298
                  1.1525                      -18.524538
                    1.16                      -19.049454
                  1.1675                      -19.612381
                   1.175                      -20.218591
                  1.1825                      -20.874573
                    1.19                      -21.588453
                  1.1975                      -22.370586
                   1.205                      -23.234461
                  1.2125                      -24.198112
                    1.22                      -25.286411
                  1.2275                      -26.535046
                   1.235                      -27.997851
                  1.2425                      -29.761656
                    1.25                      -31.980254
                  1.2575                      -34.967436
                   1.265                      -39.539096
                  1.2725                      -49.269153
                    1.28                      -46.876183
                  1.2875                      -38.630324
                   1.295                      -34.424354
                  1.3025                      -31.600254
                    1.31                      -29.475209
                  1.3175                      -27.773032
                   1.325                      -26.354578
                  1.3325                       -25.13989
                    1.34                      -24.078786
                  1.3475                      -23.137697
                   1.355                       -22.29306
                  1.3625                      -21.527699
                    1.37                      -20.828707
                  1.3775                      -20.186135
                   1.385                      -19.592156
                  1.3925                      -19.040498
                     1.4                      -18.526057
                  1.4075                      -18.044624
                   1.415                      -17.592688
                  1.4225                      -17.167286
                    1.43                      -16.765897
                  1.4375                      -16.386356
                   1.445                      -16.026793
                  1.4525                      -15.685576
                    1.46                      -15.361278
                  1.4675                      -15.052637
                   1.475                       -14.75854
                  1.4825                      -14.477991
                    1.49                      -14.210102
                  1.4975                      -13.954074
                   1.505                      -13.709187
                  1.5125                       -13.47479
                    1.52                      -13.250291
                  1.5275                      -13.035152
                   1.535                      -12.828879
                  1.5425                      -12.631022
                    1.55                      -12.441167
                  1.5575                      -12.258932
                   1.565                      -12.083966
                  1.5725                      -11.915944
                    1.58                      -11.754563
                  1.5875                      -11.599546
                   1.595                      -11.450631
                  1.6025                      -11.307576
                    1.61                      -11.170157
                   1.611                      -11.152249
                  1.6175                      -11.038162
                   1.625                      -10.911395
                  1.6325                      -10.789671
                    1.64                      -10.672817
                  1.6475                      -10.560672
                   1.655                      -10.453083
                  1.6625                      -10.349908
                    1.67                      -10.251012
                  1.6775                      -10.156271
                   1.685                      -10.065563
                  1.6925                      -9.9787791
                     1.7                      -9.8958128
                  1.7075                      -9.8165655
                   1.715                      -9.7409438
                  1.7225                      -9.6688601
                    1.73                      -9.6002317
                  1.7375                       -9.534981
                   1.745                      -9.4730347
                  1.7525                      -9.4143243
                    1.76                      -9.3587852
                  1.7675                      -9.3063567
                   1.775                      -9.2569822
                  1.7825                      -9.2106086
                    1.79                       -9.167186
                  1.7975                      -9.1266683
                   1.805                      -9.0890123
                  1.8125                       -9.054178
                    1.82                      -9.0221284
                  1.8275                      -8.9928294
                   1.835                      -8.9662495
                  1.8425                      -8.9423601
                    1.85                      -8.9211353
                  1.8575                      -8.9025515
                   1.865                      -8.8865879
                  1.8725                      -8.8732259
                    1.88                      -8.8624495
                  1.8875                       -8.854245
                   1.895                      -8.8486008
                  1.9025                       -8.845508
                    1.91                      -8.8449596
                  1.9175                      -8.8469509
                   1.925                      -8.8514797
                  1.9325                      -8.8585455
                    1.94                      -8.8681504
                  1.9475                      -8.8802986
                   1.955                      -8.8949963
                  1.9625                      -8.9122522
                    1.97                      -8.9320769
                  1.9775                      -8.9544834
                   1.985                      -8.9794869
                  1.9925                      -9.0071049
                       2                       -9.037357
                  2.0075                      -9.0702654
                   2.015                      -9.1058545
                  2.0225                      -9.1441511
                    2.03                      -9.1851845
                  2.0375                      -9.2289866
                   2.045                      -9.2755918
                  2.0525                      -9.3250372
                    2.06                      -9.3773625
                  2.0675                      -9.4326105
                   2.075                      -9.4908267
                  2.0825                      -9.5520598
                    2.09                      -9.6163615
                  2.0975                      -9.6837868
                   2.105                      -9.7543941
                  2.1125                      -9.8282456
                    2.12                       -9.905407
                  2.1275                      -9.9859479
                   2.135                      -10.069942
                  2.1425                      -10.157468
                    2.15                      -10.248608
                  2.1575                      -10.343449
                   2.165                      -10.442085
                  2.1725                      -10.544613
                    2.18                      -10.651137
                  2.1875                      -10.761768
                   2.195                      -10.876621
                  2.2025                       -10.99582
                    2.21                      -11.119497
                  2.2175                       -11.24779
                   2.225                      -11.380847
                  2.2325                      -11.518825
                    2.24                      -11.661892
                  2.2475                      -11.810226
                   2.255                      -11.964016
                  2.2625                      -12.123466
                    2.27                      -12.288794
                  2.2775                      -12.460231
                   2.285                      -12.638027
                  2.2925                      -12.822449
                     2.3                      -13.013787
                  2.3075                      -13.212352
                   2.315                      -13.418479
                  2.3225                      -13.632531
                    2.33                      -13.854905
                  2.3375                      -14.086029
                   2.345                      -14.326372
                  2.3525                      -14.576445
                    2.36                       -14.83681
                  2.3675                      -15.108085
                   2.375                      -15.390952
                  2.3825                      -15.686165
                    2.39                      -15.994563
                  2.3975                      -16.317083
                   2.405                      -16.654776
                  2.4125                      -17.008824
                    2.42                      -17.380567
                  2.4275                      -17.771527
                   2.435                      -18.183451
                  2.4425                      -18.618351
                    2.45                      -19.078563
                  2.4575                       -19.56682
                   2.465                      -20.086351
                  2.4725                      -20.641006
                    2.48                      -21.235428
                  2.4875                      -21.875284
                   2.495                      -22.567598
                  2.5025                      -23.321217
                    2.51                        -24.1475
                  2.5175                      -25.061381
                   2.525                      -26.083032
                  2.5325                      -27.240651
                    2.54                      -28.575373
                  2.5475                      -30.150624
