        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                     0.5                     -0.64830109
                  0.5075                     -0.65574378
                   0.515                     -0.66284288
                  0.5225                     -0.66958874
                    0.53                     -0.67597232
                  0.5375                     -0.68198521
                   0.545                     -0.68761965
                  0.5525                     -0.69286848
                    0.56                     -0.69772513
                  0.5675                     -0.70218367
                   0.575                     -0.70623873
                  0.5825                     -0.70988553
                    0.59                     -0.71311986
                  0.5975                      -0.7159381
                   0.605                     -0.71833717
                  0.6125                     -0.72031455
                    0.62                     -0.72186827
                  0.6275                     -0.72299689
                   0.635                      -0.7236995
                  0.6425                     -0.72397575
                    0.65                     -0.72382576
                  0.6575                     -0.72325022
                   0.665                     -0.72225028
                  0.6725                     -0.72082763
                    0.68                     -0.71898443
                  0.6875                     -0.71672335
                   0.695                     -0.71404755
                  0.7025                     -0.71096066
                    0.71                      -0.7074668
                  0.7175                     -0.70357056
                   0.725                     -0.69927698
                  0.7325                      -0.6945916
                    0.74                     -0.68952039
                  0.7475                     -0.68406978
                   0.755                     -0.67824665
                  0.7625                     -0.67205834
                    0.77                      -0.6655126
                  0.7775                     -0.65861763
                   0.785                     -0.65138207
                  0.7925                     -0.64381497
                     0.8                     -0.63592579
                  0.8075                     -0.62772442
                   0.815                     -0.61922115
                  0.8225                     -0.61042666
                    0.83                     -0.60135202
                  0.8375                     -0.59200871
                   0.845                     -0.58240856
                  0.8525                     -0.57256377
                    0.86                     -0.56248691
                  0.8675                     -0.55219091
                   0.875                       -0.541689
                  0.8825                     -0.53099479
                    0.89                     -0.52012217
                  0.8975                     -0.50908535
                   0.905                     -0.49789884
                  0.9125                     -0.48657742
                    0.92                     -0.47513613
                  0.9275                     -0.46359028
                   0.935                      -0.4519554
                  0.9425                     -0.44024724
                    0.95                     -0.42848176
                  0.9575                      -0.4166751
                   0.965                     -0.40484355
                  0.9725                     -0.39300356
                    0.98                      -0.3811717
                  0.9875                     -0.36936463
                   0.995                      -0.3575991
                  1.0025                      -0.3458919
                    1.01                     -0.33425987
                  1.0175                     -0.32271985
                   1.025                     -0.31128864
                  1.0325                     -0.29998301
                    1.04                     -0.28881966
                  1.0475                     -0.27781518
                   1.055                     -0.26698602
                  1.0625                     -0.25634849
                    1.07                     -0.24591869
                  1.0775                     -0.23571253
                   1.085                     -0.22574563
                  1.0925                     -0.21603336
                     1.1                     -0.20659078
                  1.1075                      -0.1974326
                   1.115                     -0.18857316
                  1.1225                     -0.18002641
                    1.13                     -0.17180585
                  1.1375                     -0.16392455
                   1.145                     -0.15639507
                  1.1525                     -0.14922945
                    1.16                     -0.14243921
                  1.1675                     -0.13603527
                   1.175                     -0.13002798
                  1.1825                     -0.12442705
                    1.19                     -0.11924156
                  1.1975                     -0.11447993
                   1.205                     -0.11014986
                  1.2125                     -0.10625839
                    1.22                     -0.10281181
                  1.2275                    -0.099815674
                   1.235                    -0.097274792
                  1.2425                    -0.095193208
                    1.25                     -0.09357419
                  1.2575                    -0.092420224
                   1.265                    -0.091733009
                  1.2725                    -0.091513451
                    1.28                    -0.091761661
                  1.2875                    -0.092476957
                   1.295                    -0.093657862
                  1.3025                    -0.095302112
                    1.31                    -0.097406663
                  1.3175                    -0.099967693
                   1.325                     -0.10298062
                  1.3325                     -0.10644011
                    1.34                     -0.11034009
                  1.3475                     -0.11467376
                   1.355                     -0.11943363
                  1.3625                     -0.12461151
                    1.37                     -0.13019856
                  1.3775                     -0.13618529
