        Frequency / GHz                S1,1/abs,linear
----------------------------------------------------------------------
                     0.5                      0.36216344
                  0.5075                       0.3637986
                   0.515                      0.36532077
                  0.5225                      0.36672874
                    0.53                      0.36802138
                  0.5375                      0.36919764
                   0.545                       0.3702565
                  0.5525                      0.37119702
                    0.56                      0.37201832
                  0.5675                      0.37271955
                   0.575                      0.37329996
                  0.5825                      0.37375881
                    0.59                      0.37409544
                  0.5975                      0.37430923
                   0.605                      0.37439961
                  0.6125                      0.37436605
                    0.62                      0.37420807
                  0.6275                      0.37392523
                   0.635                      0.37351714
                  0.6425                      0.37298342
                    0.65                      0.37232376
                  0.6575                      0.37153787
                   0.665                      0.37062548
                  0.6725                      0.36958639
                    0.68                      0.36842038
                  0.6875                       0.3671273
                   0.695                      0.36570701
                  0.7025                       0.3641594
                    0.71                      0.36248439
                  0.7175                      0.36068192
                   0.725                      0.35875196
                  0.7325                       0.3566945
                    0.74                      0.35450956
                  0.7475                      0.35219718
                   0.755                      0.34975743
                  0.7625                       0.3471904
                    0.77                      0.34449621
                  0.7775                      0.34167499
                   0.785                      0.33872693
                  0.7925                      0.33565222
                     0.8                      0.33245109
                  0.8075                       0.3291238
                   0.815                      0.32567064
                  0.8225                      0.32209195
                    0.83                      0.31838807
                  0.8375                      0.31455943
                   0.845                      0.31060645
                  0.8525                      0.30652963
                    0.86                       0.3023295
                  0.8675                      0.29800664
                   0.875                      0.29356168
                  0.8825                      0.28899531
                    0.89                      0.28430828
                  0.8975                      0.27950138
                   0.905                       0.2745755
                  0.9125                      0.26953156
                    0.92                      0.26437058
                  0.9275                      0.25909364
                   0.935                      0.25370189
                  0.9425                      0.24819658
                    0.95                      0.24257904
                  0.9575                      0.23685067
                   0.965                      0.23101299
                  0.9725                       0.2250676
                    0.98                      0.21901619
                  0.9875                      0.21286057
                   0.995                      0.20660264
                  1.0025                      0.20024442
                    1.01                      0.19378804
                  1.0175                      0.18723574
                   1.025                      0.18058988
                  1.0325                      0.17385296
                    1.04                      0.16702757
                  1.0475                      0.16011646
                   1.055                      0.15312252
                  1.0625                      0.14604877
                    1.07                      0.13889839
                  1.0775                      0.13167471
                   1.085                      0.12438126
                  1.0925                      0.11702177
                     1.1                      0.10960019
                  1.1075                      0.10212075
                   1.115                     0.094588053
                  1.1225                     0.087007137
                    1.13                     0.079383689
                  1.1375                     0.071724317
                   1.145                     0.064037062
                  1.1525                     0.056332322
                    1.16                      0.04862466
                  1.1675                     0.040936641
                   1.175                     0.033307888
                  1.1825                     0.025819608
                    1.19                     0.018674283
                  1.1975                     0.012513429
                   1.205                    0.0095336163
                  1.2125                     0.012330036
                    1.22                     0.018442217
                  1.2275                     0.025592491
                   1.235                     0.033108292
                  1.2425                     0.040779094
                    1.25                     0.048521072
                  1.2575                     0.056293491
                   1.265                      0.06407318
                  1.2725                     0.071845156
                    1.28                     0.079598675
                  1.2875                     0.087325378
                   1.295                     0.095018339
                  1.3025                      0.10267156
                    1.31                      0.11027966
                  1.3175                      0.11783773
                   1.325                      0.12534118
                  1.3325                      0.13278571
                    1.34                      0.14016725
                  1.3475                      0.14748193
                   1.355                      0.15472603
                  1.3625                      0.16189604
                    1.37                      0.16898858
                  1.3775                      0.17600043
                   1.385                      0.18292849
                  1.3925                      0.18976985
                     1.4                      0.19652169
                  1.4075                      0.20318136
                   1.415                      0.20974633
                  1.4225                       0.2162142
                    1.43                      0.22258271
                  1.4375                      0.22884972
                   1.445                      0.23501323
                  1.4525                      0.24107136
                    1.46                      0.24702233
                  1.4675                      0.25286452
                   1.475                      0.25859639
                  1.4825                      0.26421653
                    1.49                      0.26972364
                  1.4975                      0.27511652
                   1.505                      0.28039409
                  1.5125                      0.28555535
                    1.52                      0.29059941
                  1.5275                      0.29552545
                   1.535                      0.30033278
                  1.5425                      0.30502075
                    1.55                      0.30958882
                  1.5575                       0.3140365
                   1.565                      0.31836341
                  1.5725                      0.32256919
                    1.58                      0.32665359
                  1.5875                      0.33061639
                   1.595                      0.33445743
                  1.6025                      0.33817662
                    1.61                      0.34177389
                   1.611                      0.34224432
                  1.6175                      0.34524924
                   1.625                       0.3486027
                  1.6325                      0.35183433
                    1.64                      0.35494423
                  1.6475                      0.35793254
                   1.655                       0.3607994
                  1.6625                      0.36354501
                    1.67                      0.36616957
                  1.6775                      0.36867329
                   1.685                       0.3710564
                  1.6925                      0.37331917
                     1.7                      0.37546183
                  1.7075                      0.37748466
                   1.715                      0.37938793
                  1.7225                       0.3811719
