        Frequency / GHz                S2,2/abs,dB
----------------------------------------------------------------------
                     0.5                      -11.738181
                  0.5075                      -11.701252
                   0.515                      -11.667796
                  0.5225                      -11.637782
                    0.53                       -11.61118
                  0.5375                      -11.587966
                   0.545                      -11.568118
                  0.5525                      -11.551616
                    0.56                      -11.538446
                  0.5675                      -11.528595
                   0.575                      -11.522055
                  0.5825                      -11.518821
                    0.59                      -11.518891
                  0.5975                      -11.522265
                   0.605                       -11.52895
                  0.6125                      -11.538951
                    0.62                      -11.552283
                  0.6275                      -11.568958
                   0.635                      -11.588996
                  0.6425                      -11.612419
                    0.65                      -11.639253
                  0.6575                      -11.669527
                   0.665                      -11.703275
                  0.6725                      -11.740535
                    0.68                      -11.781348
                  0.6875                       -11.82576
                   0.695                       -11.87382
                  0.7025                      -11.925585
                    0.71                      -11.981113
                  0.7175                       -12.04047
                   0.725                      -12.103724
                  0.7325                      -12.170951
                    0.74                      -12.242231
                  0.7475                      -12.317653
                   0.755                      -12.397308
                  0.7625                      -12.481297
                    0.77                      -12.569727
                  0.7775                      -12.662712
                   0.785                      -12.760376
                  0.7925                      -12.862851
                     0.8                      -12.970276
                  0.8075                      -13.082802
                   0.815                      -13.200592
                  0.8225                      -13.323818
                    0.83                      -13.452666
                  0.8375                      -13.587335
                   0.845                       -13.72804
                  0.8525                       -13.87501
                    0.86                      -14.028495
                  0.8675                      -14.188761
                   0.875                      -14.356097
                  0.8825                      -14.530816
                    0.89                      -14.713257
                  0.8975                      -14.903787
                   0.905                      -15.102807
                  0.9125                      -15.310752
                    0.92                      -15.528099
                  0.9275                      -15.755372
                   0.935                      -15.993143
                  0.9425                      -16.242047
                    0.95                      -16.502782
                  0.9575                      -16.776126
                   0.965                      -17.062943
                  0.9725                      -17.364201
                    0.98                      -17.680986
                  0.9875                      -18.014524
                   0.995                      -18.366205
                  1.0025                      -18.737616
                    1.01                      -19.130576
                  1.0175                       -19.54719
                   1.025                      -19.989905
                  1.0325                      -20.461593
                    1.04                      -20.965656
                  1.0475                      -21.506163
                   1.055                       -22.08804
                  1.0625                      -22.717323
                    1.07                      -23.401526
                  1.0775                      -24.150163
                   1.085                      -24.975527
                  1.0925                       -25.89389
                     1.1                      -26.927425
                  1.1075                       -28.10745
                   1.115                      -29.480248
                  1.1225                      -31.118374
                    1.13                      -33.145069
                  1.1375                      -35.795218
                   1.145                      -39.603841
                  1.1525                      -46.180873
                    1.16                       -51.25909
                  1.1675                       -42.20974
                   1.175                      -37.392728
                  1.1825                      -34.270391
                    1.19                        -31.9687
                  1.1975                      -30.148136
                   1.205                      -28.643487
                  1.2125                      -27.362214
                    1.22                      -26.247335
                  1.2275                      -25.261294
                   1.235                      -24.378041
                  1.2425                      -23.578765
                    1.25                      -22.849444
                  1.2575                      -22.179346
                   1.265                      -21.560072
                  1.2725                      -20.984929
                    1.28                      -20.448495
                  1.2875                      -19.946317
                   1.295                      -19.474691
                  1.3025                      -19.030505
                    1.31                      -18.611119
                  1.3175                      -18.214272
                   1.325                      -17.838014
                  1.3325                      -17.480652
                    1.34                      -17.140705
                  1.3475                       -16.81687
                   1.355                      -16.507997
                  1.3625                      -16.213061
                    1.37                      -15.931151
                  1.3775                      -15.661447
                   1.385                      -15.403212
                  1.3925                      -15.155782
                     1.4                      -14.918552
                  1.4075                      -14.690975
                   1.415                      -14.472551
                  1.4225                      -14.262821
                    1.43                      -14.061367
                  1.4375                      -13.867803
                   1.445                      -13.681775
                  1.4525                      -13.502954
                    1.46                      -13.331037
                  1.4675                      -13.165743
                   1.475                      -13.006811
                  1.4825                      -12.853999
                    1.49                       -12.70708
                  1.4975                      -12.565844
                   1.505                      -12.430094
                  1.5125                      -12.299645
                    1.52                      -12.174326
                  1.5275                      -12.053975
                   1.535                      -11.938441
                  1.5425                      -11.827581
                    1.55                      -11.721262
                  1.5575                      -11.619359
                   1.565                      -11.521754
                  1.5725                      -11.428336
                    1.58                      -11.339001
                  1.5875                      -11.253651
                   1.595                      -11.172194
                  1.6025                      -11.094542
                    1.61                      -11.020614
                   1.611                      -11.011034
                  1.6175                      -10.950333
                   1.625                      -10.883628
                  1.6325                      -10.820431
                    1.64                      -10.760678
                  1.6475                      -10.704309
                   1.655                      -10.651271
                  1.6625                       -10.60151
                    1.67                      -10.554978
                  1.6775                      -10.511631
                   1.685                      -10.471427
                  1.6925                      -10.434328
                     1.7                      -10.400299
                  1.7075                      -10.369307
                   1.715                      -10.341323
                  1.7225                      -10.316322
                    1.73                      -10.294278
                  1.7375                      -10.275173
                   1.745                      -10.258987
                  1.7525                      -10.245705
                    1.76                      -10.235315
                  1.7675                      -10.227807
                   1.775                      -10.223172
                  1.7825                      -10.221407
                    1.79                      -10.222509
                  1.7975                      -10.226478
                   1.805                      -10.233318
                  1.8125                      -10.243033
                    1.82                      -10.255632
                  1.8275                      -10.271125
                   1.835                      -10.289527
                  1.8425                      -10.310853
                    1.85                      -10.335121
                  1.8575                      -10.362355
                   1.865                      -10.392577
                  1.8725                      -10.425817
                    1.88                      -10.462103
                  1.8875                       -10.50147
                   1.895                      -10.543954
                  1.9025                      -10.589595
                    1.91                      -10.638436
                  1.9175                      -10.690524
                   1.925                      -10.745909
                  1.9325                      -10.804645
                    1.94                       -10.86679
                  1.9475                      -10.932405
                   1.955                      -11.001557
                  1.9625                      -11.074317
                    1.97                      -11.150758
                  1.9775                      -11.230962
                   1.985                      -11.315013
                  1.9925                      -11.403002
                       2                      -11.495025
                  2.0075                      -11.591184
                   2.015                      -11.691587
                  2.0225                      -11.796351
                    2.03                      -11.905598
                  2.0375                      -12.019459
                   2.045                      -12.138071
                  2.0525                      -12.261584
                    2.06                      -12.390154
                  2.0675                      -12.523949
                   2.075                      -12.663148
                  2.0825                      -12.807942
                    2.09                      -12.958534
                  2.0975                      -13.115144
                   2.105                      -13.278004
                  2.1125                      -13.447367
                    2.12                      -13.623501
                  2.1275                      -13.806697
                   2.135                      -13.997267
                  2.1425                       -14.19555
                    2.15                      -14.401912
                  2.1575                      -14.616749
                   2.165                      -14.840492
                  2.1725                      -15.073612
                    2.18                      -15.316623
                  2.1875                      -15.570087
                   2.195                      -15.834625
                  2.2025                      -16.110919
                    2.21                      -16.399725
                  2.2175                      -16.701883
                   2.225                       -17.01833
                  2.2325                      -17.350114
                    2.24                      -17.698418
                  2.2475                      -18.064576
                   2.255                      -18.450109
                  2.2625                      -18.856756
                    2.27                       -19.28652
                  2.2775                      -19.741723
                   2.285                      -20.225081
                  2.2925                      -20.739799
                     2.3                       -21.28969
                  2.3075                      -21.879347
                   2.315                      -22.514366
                  2.3225                      -23.201666
                    2.33                      -23.949932
                  2.3375                      -24.770277
                   2.345                      -25.677232
                  2.3525                      -26.690295
                    2.36                      -27.836457
                  2.3675                      -29.154535
                   2.375                      -30.703088
                  2.3825                      -32.575921
                    2.39                      -34.935067
                  2.3975                      -38.083864
                   2.405                      -42.549879
                  2.4125                      -46.809867
                    2.42                      -42.964325
                  2.4275                      -38.421554
                   2.435                         -35.232
                  2.4425                      -32.862604
                    2.45                      -30.995376
                  2.4575                      -29.461216
                   2.465                      -28.162802
                  2.4725                      -27.039678
                    2.48                      -26.051918
                  2.4875                      -25.171847
                   2.495                      -24.379518
                  2.5025                      -23.660096
                    2.51                      -23.002254
                  2.5175                      -22.397148
                   2.525                      -21.837745
                  2.5325                      -21.318359
                    2.54                      -20.834329
                  2.5475                      -20.381785
                   2.555                       -19.95748
                  2.5625                      -19.558663
                    2.57                      -19.182983
                  2.5775                      -18.828412
                   2.585                      -18.493192
                  2.5925                      -18.175788
                     2.6                       -17.87485
                  2.6075                      -17.589187
                   2.615                       -17.31774
                  2.6225                      -17.059566
                    2.63                      -16.813821
                  2.6375                      -16.579745
                   2.645                      -16.356653
                  2.6525                      -16.143925
                    2.66                      -15.940998
                  2.6675                       -15.74736
                   2.675                      -15.562542
                  2.6825                      -15.386117
                    2.69                      -15.217692
                  2.6975                      -15.056908
                   2.705                      -14.903431
                  2.7125                      -14.756957
                    2.72                      -14.617204
                  2.7275                      -14.483909
                   2.735                      -14.356833
                  2.7425                      -14.235751
                    2.75                      -14.120456
                  2.7575                      -14.010757
                   2.765                      -13.906474
                  2.7725                      -13.807442
                    2.78                      -13.713509
                  2.7875                      -13.624531
                   2.795                      -13.540376
                  2.8025                      -13.460922
                    2.81                      -13.386054
                  2.8175                      -13.315668
                   2.825                      -13.249666
                  2.8325                      -13.187959
                    2.84                      -13.130463
                  2.8475                      -13.077101
                   2.855                      -13.027805
                  2.8625                      -12.982509
                    2.87                      -12.941154
                  2.8775                      -12.903688
                   2.885                      -12.870061
                  2.8925                      -12.840229
                     2.9                      -12.814153
                  2.9075                      -12.791797
                   2.915                      -12.773131
                  2.9225                      -12.758125
                    2.93                      -12.746757
                  2.9375                      -12.739004
                   2.945                      -12.734849
                  2.9525                      -12.734276
                    2.96                      -12.737272
                  2.9675                      -12.743828
                   2.975                      -12.753935
                  2.9825                      -12.767587
                    2.99                      -12.784779
                  2.9975                      -12.805508
                   3.005                      -12.829772
                  3.0125                      -12.857571
                    3.02                      -12.888904
                  3.0275                      -12.923773
                   3.035                      -12.962179
                  3.0425                      -13.004122
                    3.05                      -13.049605
                  3.0575                      -13.098627
                   3.065                      -13.151191
                  3.0725                      -13.207295
                    3.08                       -13.26694
                  3.0875                      -13.330122
                   3.095                      -13.396838
                  3.1025                      -13.467085
                    3.11                      -13.540855
                  3.1175                      -13.618142
