        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -14.466188
                  0.5075                      -14.459546
                   0.515                      -14.457445
                  0.5225                      -14.459897
                    0.53                       -14.46692
                  0.5375                      -14.478537
                   0.545                      -14.494779
                  0.5525                      -14.515678
                    0.56                      -14.541277
                  0.5675                      -14.571621
                   0.575                      -14.606765
                  0.5825                      -14.646769
                    0.59                        -14.6917
                  0.5975                      -14.741631
                   0.605                      -14.796646
                  0.6125                      -14.856835
                    0.62                      -14.922297
                  0.6275                      -14.993141
                   0.635                      -15.069484
                  0.6425                      -15.151455
                    0.65                      -15.239193
                  0.6575                      -15.332851
                   0.665                      -15.432593
                  0.6725                      -15.538598
                    0.68                      -15.651059
                  0.6875                      -15.770186
                   0.695                      -15.896208
                  0.7025                      -16.029372
                    0.71                      -16.169947
                  0.7175                      -16.318225
                   0.725                      -16.474524
                  0.7325                      -16.639193
                    0.74                      -16.812609
                  0.7475                      -16.995187
                   0.755                      -17.187381
                  0.7625                      -17.389691
                    0.77                      -17.602665
                  0.7775                       -17.82691
                   0.785                      -18.063097
                  0.7925                      -18.311971
                     0.8                      -18.574363
                  0.8075                      -18.851201
                   0.815                      -19.143529
                  0.8225                      -19.452522
                    0.83                      -19.779515
                  0.8375                      -20.126027
                   0.845                      -20.493799
                  0.8525                      -20.884842
                    0.86                      -21.301489
                  0.8675                      -21.746472
                   0.875                      -22.223021
                  0.8825                      -22.734986
                    0.89                      -23.287009
                  0.8975                      -23.884762
                   0.905                       -24.53527
                  0.9125                      -25.247379
                    0.92                      -26.032448
                  0.9275                      -26.905399
                   0.935                       -27.88638
                  0.9425                      -29.003526
                    0.95                      -30.297815
                  0.9575                      -31.832279
                   0.965                      -33.711219
                  0.9725                      -36.126032
                    0.98                      -39.487712
                  0.9875                      -44.939877
                   0.995                      -54.483582
                  1.0025                      -45.555673
                    1.01                      -39.765579
                  1.0175                      -36.247092
                   1.025                      -33.731245
                  1.0325                      -31.774782
                    1.04                      -30.174823
                  1.0475                      -28.822013
                   1.055                      -27.650757
                  1.0625                      -26.618645
                    1.07                      -25.696679
                  1.0775                      -24.864164
                   1.085                      -24.105812
                  1.0925                      -23.410014
                     1.1                      -22.767745
                  1.1075                      -22.171849
                   1.115                      -21.616561
                  1.1225                      -21.097164
                    1.13                      -20.609751
                  1.1375                      -20.151051
                   1.145                      -19.718296
                  1.1525                      -19.309124
                    1.16                      -18.921504
                  1.1675                      -18.553674
                   1.175                      -18.204101
                  1.1825                      -17.871436
                    1.19                      -17.554492
                  1.1975                      -17.252216
                   1.205                       -16.96367
                  1.2125                      -16.688014
                    1.22                      -16.424496
                  1.2275                      -16.172437
                   1.235                      -15.931224
                  1.2425                        -15.7003
                    1.25                      -15.479158
                  1.2575                      -15.267339
                   1.265                       -15.06442
                  1.2725                      -14.870015
                    1.28                       -14.68377
                  1.2875                      -14.505359
                   1.295                       -14.33448
                  1.3025                      -14.170859
                    1.31                      -14.014238
                  1.3175                      -13.864382
                   1.325                      -13.721072
                  1.3325                      -13.584105
                    1.34                      -13.453294
                  1.3475                      -13.328464
                   1.355                      -13.209455
                  1.3625                      -13.096118
                    1.37                      -12.988313
                  1.3775                      -12.885913
                   1.385                      -12.788799
                  1.3925                      -12.696862
                     1.4                      -12.610002
                  1.4075                      -12.528126
                   1.415                      -12.451149
                  1.4225                      -12.378994
                    1.43                      -12.311589
                  1.4375                      -12.248872
                   1.445                      -12.190785
                  1.4525                      -12.137277
                    1.46                      -12.088304
                  1.4675                      -12.043827
                   1.475                      -12.003812
                  1.4825                      -11.968233
                    1.49                      -11.937068
                  1.4975                      -11.910301
                   1.505                      -11.887921
                  1.5125                      -11.869923
                    1.52                      -11.856308
                  1.5275                      -11.847081
                   1.535                      -11.842255
                  1.5425                      -11.841846
                    1.55                      -11.845877
                  1.5575                      -11.854377
                   1.565                      -11.867381
                  1.5725                      -11.884928
                    1.58                      -11.907066
                  1.5875                      -11.933848
                   1.595                      -11.965335
                  1.6025                      -12.001591
                    1.61                      -12.042693
                   1.611                      -12.048544
                  1.6175                      -12.088721
                   1.625                      -12.139764
                  1.6325                      -12.195921
                    1.64                      -12.257297
                  1.6475                      -12.324009
                   1.655                      -12.396181
                  1.6625                      -12.473948
                    1.67                      -12.557459
                  1.6775                      -12.646871
                   1.685                      -12.742357
                  1.6925                      -12.844099
                     1.7                        -12.9523
                  1.7075                      -13.067173
                   1.715                      -13.188953
                  1.7225                      -13.317891
                    1.73                      -13.454259
                  1.7375                      -13.598353
                   1.745                      -13.750493
                  1.7525                      -13.911026
                    1.76                      -14.080329
                  1.7675                      -14.258815
                   1.775                      -14.446931
                  1.7825                      -14.645169
                    1.79                      -14.854068
                  1.7975                      -15.074219
                   1.805                      -15.306275
                  1.8125                      -15.550956
                    1.82                      -15.809063
                  1.8275                      -16.081488
                   1.835                      -16.369226
                  1.8425                      -16.673397
                    1.85                      -16.995262
                  1.8575                      -17.336252
                   1.865                         -17.698
                  1.8725                      -18.082379
                    1.88                      -18.491552
                  1.8875                      -18.928037
                   1.895                      -19.394789
                  1.9025                      -19.895309
                    1.91                      -20.433783
                  1.9175                      -21.015282
                   1.925                      -21.646024
                  1.9325                      -22.333751
                    1.94                      -23.088271
                  1.9475                      -23.922264
                   1.955                      -24.852516
                  1.9625                      -25.901895
                    1.97                      -27.102664
                  1.9775                      -28.502347
                   1.985                      -30.174893
                  1.9925                      -32.243748
                       2                      -34.934004
                  2.0075                      -38.689925
                   2.015                      -44.015318
                  2.0225                      -44.574536
                    2.03                      -39.174148
                  2.0375                      -35.262658
                   2.045                      -32.483088
                  2.0525                      -30.358782
                    2.06                      -28.648555
                  2.0675                      -27.221476
                   2.075                      -25.999784
                  2.0825                      -24.933845
                    2.09                      -23.990148
                  2.0975                      -23.145044
                   2.105                      -22.381239
                  2.1125                      -21.685711
                    2.12                      -21.048419
                  2.1275                      -20.461454
                   2.135                      -19.918484
                  2.1425                      -19.414353
                    2.15                      -18.944817
                  2.1575                      -18.506333
                   2.165                      -18.095918
                  2.1725                      -17.711036
                    2.18                      -17.349512
                  2.1875                       -17.00947
                   2.195                      -16.689276
                  2.2025                      -16.387502
                    2.21                      -16.102895
                  2.2175                      -15.834343
                   2.225                      -15.580862
                  2.2325                      -15.341573
                    2.24                      -15.115691
                  2.2475                      -14.902511
                   2.255                      -14.701396
                  2.2625                      -14.511773
                    2.27                      -14.333124
                  2.2775                      -14.164977
