        Frequency / GHz                S1,1/abs,linear
----------------------------------------------------------------------
                     0.5                      0.31214797
                  0.5075                      0.31402687
                   0.515                       0.3157902
                  0.5225                      0.31743819
                    0.53                      0.31897116
                  0.5375                      0.32038953
                   0.545                       0.3216938
                  0.5525                      0.32288453
                    0.56                      0.32396235
                  0.5675                      0.32492791
                   0.575                      0.32578193
                  0.5825                      0.32652515
                    0.59                      0.32715831
                  0.5975                      0.32768219
                   0.605                      0.32809756
                  0.6125                       0.3284052
                    0.62                      0.32860589
                  0.6275                      0.32870037
                   0.635                      0.32868941
                  0.6425                      0.32857371
                    0.65                        0.328354
                  0.6575                      0.32803094
                   0.665                       0.3276052
                  0.6725                      0.32707738
                    0.68                      0.32644809
                  0.6875                      0.32571787
                   0.695                      0.32488726
                  0.7025                      0.32395674
                    0.71                      0.32292678
                  0.7175                      0.32179779
                   0.725                      0.32057017
                  0.7325                      0.31924428
                    0.74                      0.31782045
                  0.7475                      0.31629898
                   0.755                      0.31468014
                  0.7625                      0.31296419
                    0.77                      0.31115134
                  0.7775                       0.3092418
                   0.785                      0.30723575
                  0.7925                      0.30513337
                     0.8                      0.30293481
                  0.8075                      0.30064021
                   0.815                      0.29824971
                  0.8225                      0.29576344
                    0.83                      0.29318154
                  0.8375                      0.29050415
                   0.845                      0.28773139
                  0.8525                      0.28486343
                    0.86                      0.28190042
                  0.8675                      0.27884254
                   0.875                      0.27568998
                  0.8825                      0.27244298
                    0.89                      0.26910178
                  0.8975                      0.26566666
                   0.905                      0.26213793
                  0.9125                      0.25851595
                    0.92                       0.2548011
                  0.9275                      0.25099383
                   0.935                      0.24709463
                  0.9425                      0.24310404
                    0.95                      0.23902264
                  0.9575                      0.23485111
                   0.965                      0.23059015
                  0.9725                      0.22624055
                    0.98                      0.22180316
                  0.9875                      0.21727892
                   0.995                      0.21266881
                  1.0025                      0.20797391
                    1.01                       0.2031954
                  1.0175                       0.1983345
                   1.025                      0.19339255
                  1.0325                      0.18837096
                    1.04                      0.18327125
                  1.0475                      0.17809501
                   1.055                      0.17284396
                  1.0625                       0.1675199
                    1.07                      0.16212473
                  1.0775                      0.15666048
                   1.085                      0.15112928
                  1.0925                      0.14553337
                     1.1                      0.13987515
                  1.1075                      0.13415712
                   1.115                      0.12838197
                  1.1225                      0.12255253
                    1.13                      0.11667183
                  1.1375                      0.11074313
                   1.145                      0.10476994
                  1.1525                     0.098756096
                    1.16                      0.09270585
                  1.1675                     0.086623975
                   1.175                     0.080515952
                  1.1825                     0.074388234
                    1.19                     0.068248659
                  1.1975                     0.062107115
                   1.205                     0.055976617
                  1.2125                     0.049875179
                    1.22                     0.043829167
                  1.2275                     0.037879651
                   1.235                     0.032095146
                  1.2425                     0.026598538
                    1.25                     0.021625428
                  1.2575                     0.017638352
                   1.265                     0.015432543
                  1.2725                     0.015779102
                    1.28                      0.01853558
                  1.2875                     0.022842379
                   1.295                     0.027987321
                  1.3025                     0.033580499
                    1.31                     0.039423778
                  1.3175                     0.045412252
                   1.325                     0.051486368
                  1.3325                     0.057609815
                    1.34                     0.063758932
                  1.3475                     0.069917352
                   1.355                     0.076073125
                  1.3625                     0.082217103
                    1.37                     0.088341986
                  1.3775                     0.094441742
                   1.385                      0.10051123
                  1.3925                      0.10654596
                     1.4                      0.11254194
                  1.4075                      0.11849555
                   1.415                      0.12440348
                  1.4225                      0.13026265
                    1.43                      0.13607021
                  1.4375                      0.14182345
                   1.445                      0.14751984
                  1.4525                      0.15315698
                    1.46                      0.15873259
                  1.4675                      0.16424449
                   1.475                      0.16969063
                  1.4825                      0.17506903
                    1.49                      0.18037782
                  1.4975                       0.1856152
                   1.505                      0.19077947
                  1.5125                      0.19586899
                    1.52                       0.2008822
                  1.5275                      0.20581763
                   1.535                      0.21067387
                  1.5425                      0.21544956
                    1.55                      0.22014343
                  1.5575                      0.22475426
                   1.565                       0.2292809
                  1.5725                      0.23372225
                    1.58                      0.23807728
                  1.5875                        0.242345
                   1.595                      0.24652447
                  1.6025                      0.25061484
                    1.61                      0.25461526
                   1.611                      0.25514181
                  1.6175                      0.25852496
                   1.625                       0.2623432
                  1.6325                       0.2660693
                    1.64                      0.26970262
                  1.6475                      0.27324255
                   1.655                      0.27668852
                  1.6625                      0.28004002
                    1.67                      0.28329656
                  1.6775                      0.28645769
                   1.685                      0.28952299
                  1.6925                      0.29249208
                     1.7                      0.29536461
                  1.7075                      0.29814025
                   1.715                      0.30081871
                  1.7225                      0.30339973
                    1.73                      0.30588307
                  1.7375                      0.30826852
                   1.745                      0.31055589
                  1.7525                      0.31274502
                    1.76                      0.31483577
                  1.7675                      0.31682801
                   1.775                      0.31872164
                  1.7825                      0.32051659
                    1.79                       0.3222128
                  1.7975                      0.32381021
                   1.805                      0.32530882
                  1.8125                       0.3267086
                    1.82                      0.32800956
                  1.8275                      0.32921173
                   1.835                      0.33031513
                  1.8425                      0.33131983
                    1.85                      0.33222589
                  1.8575                      0.33303338
                   1.865                      0.33374238
                  1.8725                      0.33435301
                    1.88                      0.33486537
                  1.8875                      0.33527959
                   1.895                      0.33559579
                  1.9025                      0.33581414
                    1.91                      0.33593477
                  1.9175                      0.33595786
                   1.925                      0.33588358
                  1.9325                      0.33571212
                    1.94                      0.33544366
                  1.9475                      0.33507841
                   1.955                      0.33461659
                  1.9625                       0.3340584
                    1.97                      0.33340409
                  1.9775                       0.3326539
                   1.985                      0.33180806
                  1.9925                      0.33086684
                       2                       0.3298305
                  2.0075                      0.32869932
                   2.015                      0.32747359
                  2.0225                       0.3261536
                    2.03                      0.32473966
                  2.0375                      0.32323209
                   2.045                       0.3216312
                  2.0525                      0.31993735
                    2.06                      0.31815087
