        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -8.8219078
                  0.5075                      -8.7827795
                   0.515                      -8.7465128
                  0.5225                      -8.7131012
                    0.53                      -8.6825389
                  0.5375                      -8.6548216
                   0.545                      -8.6299461
                  0.5525                      -8.6079103
                    0.56                      -8.5887135
                  0.5675                      -8.5723565
                   0.575                      -8.5588412
                  0.5825                      -8.5481713
                    0.59                      -8.5403518
                  0.5975                      -8.5353893
                   0.605                      -8.5332923
                  0.6125                      -8.5340709
                    0.62                      -8.5377371
                  0.6275                      -8.5443046
                   0.635                      -8.5537894
                  0.6425                      -8.5662095
                    0.65                       -8.581585
                  0.6575                      -8.5999383
                   0.665                      -8.6212945
                  0.6725                      -8.6456807
                    0.68                      -8.6731271
                  0.6875                      -8.7036664
                   0.695                      -8.7373343
                  0.7025                      -8.7741695
                    0.71                      -8.8142138
                  0.7175                      -8.8575125
                   0.725                      -8.9041143
                  0.7325                      -8.9540717
                    0.74                      -9.0074409
                  0.7475                      -9.0642824
                   0.755                      -9.1246609
                  0.7625                      -9.1886458
                    0.77                      -9.2563111
                  0.7775                      -9.3277361
                   0.785                      -9.4030054
                  0.7925                      -9.4822095
                     0.8                      -9.5654448
                  0.8075                      -9.6528142
                   0.815                      -9.7444278
                  0.8225                      -9.8404027
                    0.83                      -9.9408641
                  0.8375                      -10.045946
                   0.845                      -10.155791
                  0.8525                      -10.270551
                    0.86                      -10.390389
                  0.8675                      -10.515481
                   0.875                      -10.646013
                  0.8825                      -10.782184
                    0.89                       -10.92421
                  0.8975                      -11.072321
                   0.905                      -11.226764
                  0.9125                      -11.387807
                    0.92                      -11.555737
                  0.9275                      -11.730865
                   0.935                      -11.913526
                  0.9425                      -12.104084
                    0.95                      -12.302935
                  0.9575                      -12.510508
                   0.965                      -12.727272
                  0.9725                      -12.953741
                    0.98                      -13.190476
                  0.9875                      -13.438096
                   0.995                      -13.697283
                  1.0025                      -13.968792
                    1.01                      -14.253461
                  1.0175                      -14.552225
                   1.025                      -14.866132
                  1.0325                      -15.196358
                    1.04                      -15.544237
                  1.0475                       -15.91128
                   1.055                      -16.299219
                  1.0625                      -16.710042
                    1.07                      -17.146056
                  1.0775                      -17.609953
                   1.085                      -18.104901
                  1.0925                      -18.634667
                     1.1                      -19.203774
                  1.1075                       -19.81772
                   1.115                      -20.483274
                  1.1225                      -21.208902
                    1.13                      -22.005374
                  1.1375                      -22.886672
                   1.145                      -23.871372
                  1.1525                      -24.984847
                    1.16                      -26.262868
                  1.1675                      -27.757756
                   1.175                      -29.549058
                  1.1825                      -31.761007
                    1.19                      -34.575121
                  1.1975                      -38.052473
                   1.205                      -40.414847
                  1.2125                      -38.180713
                    1.22                      -34.683738
                  1.2275                      -31.837749
                   1.235                      -29.601265
                  1.2425                      -27.791248
                    1.25                      -26.281392
                  1.2575                      -24.990836
                   1.265                      -23.866474
                  1.2725                       -22.87205
                    1.28                      -21.981883
                  1.2875                      -21.177191
                   1.295                      -20.443851
                  1.3025                      -19.770997
                    1.31                      -19.150092
                  1.3175                      -18.574313
                   1.325                      -18.038124
                  1.3325                      -17.536973
                    1.34                      -17.067069
                  1.3475                      -16.625224
                   1.355                      -16.208732
                  1.3625                      -15.815275
                    1.37                      -15.442853
                  1.3775                      -15.089726
                   1.385                      -14.754373
                  1.3925                      -14.435456
                     1.4                       -14.13179
                  1.4075                      -13.842323
                   1.415                      -13.566113
                  1.4225                      -13.302316
                    1.43                      -13.050172
                  1.4375                      -12.808992
                   1.445                      -12.578154
                  1.4525                      -12.357088
                    1.46                      -12.145276
                  1.4675                      -11.942242
                   1.475                      -11.747551
                  1.4825                        -11.5608
                    1.49                       -11.38162
                  1.4975                      -11.209667
                   1.505                      -11.044623
                  1.5125                      -10.886194
                    1.52                      -10.734106
                  1.5275                      -10.588102
                   1.535                      -10.447945
                  1.5425                      -10.313412
                    1.55                      -10.184295
                  1.5575                      -10.060397
                   1.565                      -9.9415372
                  1.5725                      -9.8275423
                    1.58                      -9.7182513
                  1.5875                      -9.6135124
                   1.595                       -9.513183
                  1.6025                      -9.4171284
                    1.61                      -9.3252223
                   1.611                      -9.3132751
                  1.6175                      -9.2373453
                   1.625                      -9.1533851
                  1.6325                      -9.0732358
                    1.64                      -8.9967976
                  1.6475                      -8.9239764
                   1.655                      -8.8546838
                  1.6625                      -8.7888361
                    1.67                       -8.726355
                  1.6775                      -8.6671666
                   1.685                      -8.6112014
                  1.6925                      -8.5583943
                     1.7                      -8.5086841
                  1.7075                      -8.4620138
                   1.715                      -8.4183298
                  1.7225                      -8.3775823
                    1.73                       -8.339725
                  1.7375                      -8.3047147
                   1.745                      -8.2725118
                  1.7525                      -8.2430797
                    1.76                      -8.2163847
                  1.7675                      -8.1923963
                   1.775                      -8.1710869
                  1.7825                      -8.1524316
                    1.79                      -8.1364084
                  1.7975                      -8.1229979
                   1.805                      -8.1121836
                  1.8125                      -8.1039513
                    1.82                      -8.0982899
                  1.8275                      -8.0951903
                   1.835                      -8.0946464
                  1.8425                      -8.0966545
                    1.85                      -8.1012132
                  1.8575                       -8.108324
                   1.865                      -8.1179906
                  1.8725                      -8.1302193
                    1.88                       -8.145019
                  1.8875                      -8.1624011
                   1.895                      -8.1823794
                  1.9025                      -8.2049705
                    1.91                      -8.2301934
                  1.9175                      -8.2580698
                   1.925                      -8.2886242
                  1.9325                      -8.3218837
                    1.94                      -8.3578781
                  1.9475                      -8.3966401
                   1.955                      -8.4382054
                  1.9625                      -8.4826126
                    1.97                      -8.5299032
                  1.9775                      -8.5801221
                   1.985                      -8.6333173
                  1.9925                      -8.6895401
                       2                      -8.7488454
                  2.0075                      -8.8112916
                   2.015                       -8.876941
                  2.0225                      -8.9458596
                    2.03                      -9.0181175
                  2.0375                      -9.0937892
                   2.045                      -9.1729536
                  2.0525                      -9.2556943
                    2.06                      -9.3420996
                  2.0675                      -9.4322635
                   2.075                      -9.5262849
                  2.0825                      -9.6242691
                    2.09                      -9.7263271
                  2.0975                      -9.8325768
                   2.105                      -9.9431428
                  2.1125                      -10.058157
                    2.12                      -10.177761
                  2.1275                      -10.302102
                   2.135                      -10.431338
                  2.1425                      -10.565638
                    2.15                       -10.70518
                  2.1575                      -10.850155
                   2.165                      -11.000765
                  2.1725                      -11.157226
                    2.18                       -11.31977
                  2.1875                      -11.488646
                   2.195                      -11.664118
                  2.2025                      -11.846471
                    2.21                      -12.036014
                  2.2175                      -12.233077
                   2.225                      -12.438017
                  2.2325                      -12.651222
                    2.24                      -12.873113
                  2.2475                      -13.104146
                   2.255                       -13.34482
                  2.2625                      -13.595682
                    2.27                      -13.857331
                  2.2775                      -14.130425
                   2.285                      -14.415695
                  2.2925                      -14.713948
                     2.3                      -15.026085
                  2.3075                      -15.353111
                   2.315                      -15.696158
                  2.3225                      -16.056502
